,Name,Price,PageURL
176,John Fulton Stuart Collins Jr. / Stringtown on the Pike Tales and History 1965,77.06,https://www.ebay.ca/itm/John-Fulton-Stuart-Collins-Jr-Stringtown-on-the-Pike-Tales-and-History-1965/274046748575?hash=item3fce75879f:g:0dEAAOSw0Axdn2Us
177,Larry McMurtry / By Sorrow's River The Berrybender Narratives Book 3 2003,86.37,https://www.ebay.ca/itm/Larry-McMurtry-By-Sorrows-River-The-Berrybender-Narratives-Book-3-2003/273803483880?epid=1903114248&hash=item3fbff59ae8:g:TnYAAOSw2bFcONOl
178,"Rare Russian antique book,A.Voronskiy,1927",78.39,https://www.ebay.ca/itm/Rare-Russian-antique-book-A-Voronskiy-1927/123936459079?hash=item1cdb304947:g:d60AAOSwzqFY-1yV
179,1964 MARKINGS HARDCOVER BOOK BY DAG HAMMARSKJOLD 1st American Edition used,9.14,https://www.ebay.ca/itm/1964-MARKINGS-HARDCOVER-BOOK-BY-DAG-HAMMARSKJOLD-1st-American-Edition-used/123934983916?hash=item1cdb19c6ec:g:InoAAOSwjXZcYDuL
180,1998 SIGNED 1st ED HOPE FOR A GOOD SEASON THE Ca'eBANKERS OF HARKERS ISLAND VGC,33.20,https://www.ebay.ca/itm/1998-SIGNED-1st-ED-HOPE-FOR-A-GOOD-SEASON-THE-CaeBANKERS-OF-HARKERS-ISLAND-VGC/264059161848?hash=item3d7b270cf8:g:9YYAAOSwTxJb-sdJ
181,THE LIFE OF WILLIAM EWART GLADSTONE Vols. I-III by John Morley - 1903 - British,33.22,https://www.ebay.ca/itm/THE-LIFE-OF-WILLIAM-EWART-GLADSTONE-Vols-I-III-by-John-Morley-1903-British/113334577158?epid=1173481098&hash=item1a63446806:g:3uIAAOSw9sNb0LDq
182,David Guy / The Autobiography of My Body Signed 1st Edition 1991,57.13,https://www.ebay.ca/itm/David-Guy-The-Autobiography-of-My-Body-Signed-1st-Edition-1991/273803532399?hash=item3fbff6586f:g:pZMAAOSwpYxcOSq9
183,The White Deer. by James Thurber. N.Y. (1945) 1st.ed. in justjacket.,37.20,https://www.ebay.ca/itm/The-White-Deer-by-James-Thurber-N-Y-1945-1st-ed-in-justjacket/112968381776?hash=item1a4d70b550:g:jacAAOSwfo9a2ThV
184,Home Town / Cleveland Amory - 1950 - Hardback Book - 1st Edition - SIGNED,50.48,https://www.ebay.ca/itm/Home-Town-Cleveland-Amory-1950-Hardback-Book-1st-Edition-SIGNED/182754846802?hash=item2a8d09a852:g:yq8AAOSwdvtZs0Gm
185,"A History Of American Currency by William Sumner, Henry Holt, 1884",26.57,https://www.ebay.ca/itm/A-History-Of-American-Currency-by-William-Sumner-Henry-Holt-1884/122943557338?hash=item1ca001ceda:g:vjgAAOSwO4pacdu5
186,"The Old Masters. The Princes of Art by Mrs. S. R. Urbino, 1870, 1st.Ed., Illust.",47.83,https://www.ebay.ca/itm/The-Old-Masters-The-Princes-of-Art-by-Mrs-S-R-Urbino-1870-1st-Ed-Illust/121064225795?hash=item1c2ffd7c03:g:fX4AAOxyhPxRFaMW
187,"Yesterday's Tampa (Florida), by Hampton Dunn, 1972 hardcover with DJ, scarce",39.85,https://www.ebay.ca/itm/Yesterdays-Tampa-Florida-by-Hampton-Dunn-1972-hardcover-with-DJ-scarce/312559103269?hash=item48c5f96d25:g:bJAAAOSwzVhbZwm9
188,Robert Silverberg THEBES OF THE HUNDRED GATES Illustrated 1991 Signed,63.78,https://www.ebay.ca/itm/Robert-Silverberg-THEBES-OF-THE-HUNDRED-GATES-Illustrated-1991-Signed/233225346698?hash=item364d505e8a:g:lrgAAOSwYnhcsRSc
189,Sumach On The Hill By Conway Gregory - Rare Book,99.65,https://www.ebay.ca/itm/Sumach-On-The-Hill-By-Conway-Gregory-Rare-Book/291471563810?hash=item43dd0f1c22:g:WKsAAOSwrklVVLVX
190,The LIFE of BILLY YANK by Bell Irvin Wiley First Editio,53.08,https://www.ebay.ca/itm/The-LIFE-of-BILLY-YANK-by-Bell-Irvin-Wiley-First-Editio/310717851116?hash=item48583a25ec:g:mKAAAOxy9LxSDW11
191,Hiroshima by John Hersey,13.27,https://www.ebay.ca/itm/Hiroshima-by-John-Hersey/233365515014?hash=item3655ab2b06:g:rxoAAOSwmjZdny0Z
192,Cathedral-Nelson DeMille-SIGNED!!-TRUE First Edition/1st Printing-1981-VERY RARE,66.42,https://www.ebay.ca/itm/Cathedral-Nelson-DeMille-SIGNED-TRUE-First-Edition-1st-Printing-1981-VERY-RARE/254169282382?hash=item3b2dab774e:g:KTMAAOSwaMpZl9J~
193,n/a / Souvenir 11th annual and 1st triennial convention of the Pennsylvania,152.80,https://www.ebay.ca/itm/n-a-Souvenir-11th-annual-and-1st-triennial-convention-of-the-Pennsylvania/273803294270?hash=item3fbff2b63e:g:JsoAAOSwlINcOEgg
194,"OLD VTG ANTIQUE 1929 BOOK ""FOUR SQUARE, THE STORY OF A FOURFOLD LIFE"" OLIVER",39.85,https://www.ebay.ca/itm/OLD-VTG-ANTIQUE-1929-BOOK-FOUR-SQUARE-THE-STORY-OF-A-FOURFOLD-LIFE-OLIVER/121660140190?hash=item1c53826a9e:g:XKMAAOSw3xJVYhNc
195,DREAM INTERPRETATION by Thomas French & Erika Fromm - 1st HCDJ 1964 - psychology,47.83,https://www.ebay.ca/itm/DREAM-INTERPRETATION-by-Thomas-French-Erika-Fromm-1st-HCDJ-1964-psychology/303316687630?hash=item469f155b0e:g:AOEAAOSwTU1dn2HO
196,An Outline Of The British Labor Movement 1923 Book By Paul Blanshard Rare,19.93,https://www.ebay.ca/itm/An-Outline-Of-The-British-Labor-Movement-1923-Book-By-Paul-Blanshard-Rare/123936471820?hash=item1cdb307b0c:g:3VgAAOSwFeNcbeMA
197,James J. Murphy / RHETORIC IN THE MIDDLE AGES HISTORY OF RHETORICAL #284845,42.52,https://www.ebay.ca/itm/James-J-Murphy-RHETORIC-IN-THE-MIDDLE-AGES-HISTORY-OF-RHETORICAL-284845/283433769891?hash=item41fdf81ba3:g:0GgAAOSw-V1cncpe
198,Separate Tables by Terence Rattigan Hardcover,53.08,https://www.ebay.ca/itm/Separate-Tables-by-Terence-Rattigan-Hardcover/132995175663?hash=item1ef72154ef:g:mcoAAOSwAKxckR04
199,1892 The School For Scandal: A Comedy by Richard Sheridan Illustrated NY Book,35.87,https://www.ebay.ca/itm/1892-The-School-For-Scandal-A-Comedy-by-Richard-Sheridan-Illustrated-NY-Book/142918798869?hash=item21469fce15:g:oVYAAOSw~8xbcdaV
200,"The Justices of the Peace in England 1558-1640, J.H. Gleason (HC, 1969)",53.15,https://www.ebay.ca/itm/The-Justices-of-the-Peace-in-England-1558-1640-J-H-Gleason-HC-1969/310979958626?hash=item4867d99762:g:YCMAAMXQpPhTk1OY
201,BORDER LEGION - Easton Press - Zane Grey - SCARCE Western Classics - with flaws,66.42,https://www.ebay.ca/itm/BORDER-LEGION-Easton-Press-Zane-Grey-SCARCE-Western-Classics-with-flaws/113920741722?hash=item1a8634915a:g:K~AAAOSwiSZdUNqt
202,"Hay, Jr., James.  The Melwood Mystery.  First Edition.",66.44,https://www.ebay.ca/itm/Hay-Jr-James-The-Melwood-Mystery-First-Edition/254200247384?hash=item3b2f83f458:g:WQIAAOSwUKxYbup3
